date,p_usdt,v_usdt,r_usdt,dev_usdt,vc_usdt,p_usdc,v_usdc,r_usdc,dev_usdc,vc_usdc,r_btc,t
2020-07-20,1.0006020069122314,16920167824,0.002251194062505085,0.0006020069122314453,0.05163327992302683,0.9988300204277039,241979767,0.0017255427942585177,0.0011699795722961426,0.0096575440713754,-0.0023526855605594836,19
2020-07-21,0.9988939762115479,22047241258,-0.0017084616628946535,0.0011060237884521484,0.26468120824468533,0.99754798412323,268162461,-0.0012843624581989563,0.0024520158767700195,0.10273887938503518,0.022726572419009328,20
2020-07-22,1.000877022743225,21007802308,0.0019832742676231126,0.0008770227432250977,-0.04829357385341089,1.0006999969482422,275630027,0.0031547790555571807,0.0006999969482421875,0.027466489975134557,0.015923467431184803,21
2020-07-23,0.9981859922409058,24897129948,-0.0026922934471102166,0.0018140077590942383,0.16985862649854155,0.9976549744606018,295608573,-0.0030475314825580226,0.0023450255393981934,0.069976706099723,0.005831453188377249,22
2020-07-24,0.9989929795265198,22338273101,0.0008081272043618144,0.0010070204734802246,-0.1084510438025965,0.9980660080909729,273580676,0.0004119149317729581,0.0019339919090270996,-0.07743963608416216,-0.004621806400934839,23
2020-07-25,0.998062014579773,25077707687,-0.0009323378844662759,0.0019379854202270508,0.11567782165537949,0.9978049993515015,280171826,-0.0002615487072922219,0.002195000648498535,0.023806524640928944,0.014595935230040647,24
2020-07-26,0.9988710284233093,28852807826,0.0008102563985626847,0.0011289715766906738,0.1402280016620641,0.9974169731140137,352834293,-0.00038895546233403463,0.002583026885986328,0.23059544254971065,0.023292897324558883,25
2020-07-27,1.0010969638824463,44309144839,0.0022259720023693557,0.001096963882446289,0.4289837723119889,0.9985129833221436,470335314,0.0010982452713409994,0.0014870166778564453,0.28744735258382614,0.10400866598506177,26
2020-07-28,1.0008540153503418,37054214114,-0.00024271177048525324,0.0008540153503417969,-0.178808998979058,0.9986090064048767,377869121,9.616145964139721e-05,0.001390993595123291,-0.21889797944988737,-0.007126663372121388,27
2020-07-29,1.0025399923324585,31945080196,0.0016831211171319678,0.002539992332458496,-0.14836390205163036,1.0000499486923218,344833565,0.0014419093697060146,4.9948692321777344e-05,-0.09148601458428339,0.01704870717725163,28
2020-07-30,1.0018630027770996,30145197612,-0.0006755024640786863,0.0018630027770996094,-0.05799255718877262,0.9998160004615784,332715300,-0.00023396391334085738,0.00018399953842163086,-0.03577471099634014,0.0009676074745081875,29
